amt_size; LND1; LND2: c/300000,0; LND2: c/10,0; LND3; CLN; LDK1; LDK2; Eclair1; Eclair2; Eclair3; MDA1; Txn Count
0; 100; 100; 100; 100; 100; 100; 100; 100; 100; 100; 100; 122
1; 98,2456; 98,2456; 98,2456; 98,2456; 98,2456; 98,2456; 98,2456; 98,2456; 98,2456; 97,3684; 114
2; 97,0588; 97,0588; 97,7941; 97,0588; 97,7941; 95,5882; 95,5882; 97,0588; 97,0588; 97,7941; 96,3235; 136
3; 86,2903; 92,7419; 95,9677; 94,3548; 88,7097; 85,4839; 87,0968; 91,129; 91,129; 93,5484; 90,3226; 124
4; 70,7317; 75,6098; 78,8618; 75,6098; 71,5447; 66,6667; 69,1057; 76,4228; 76,4228; 74,7967; 69,1057; 123
5; 51,4706; 55,1471; 58,8235; 54,4118; 47,7941; 33,8235; 33,0882; 55,1471; 55,1471; 50; 39,7059; 136
6; 37,7049; 36,8852; 45,9016; 39,3443; 31,1475; 20,4918; 18,8525; 40,1639; 40,1639; 32,7869; 20,4918; 122
7; 43,9024; 43,0894; 43,9024; 43,0894; 37,3984; 22,7642; 23,5772; 45,5285; 45,5285; 43,9024; 21,9512; 123
